Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,El ID de la institución según lo designado por Belvo.,1003,integer,int32,No,No,,
name,"El nombre de la institución, según lo designado por Belvo.",erebor_mx_retail,string,,No,No,,
type,"El tipo de institución. Devolvemos uno de los siguientes valores:

  - `bank`
  - `fiscal`
  - `employment`",,string,,No,No,"bank, fiscal, employment",
website,La URL del sitio web de la institución.,https://www.erebor.com/,string,,No,Yes,,
display_name,El nombre de cara al cliente de la institución.,Erebor Mexico,string,,No,No,,
country_codes,"Los códigos de país donde la institución está disponible, por ejemplo:
- 🇧🇷 BR (Brasil)
- 🇨🇴 CO (Colombia)
- 🇲🇽 MX (México)",,array,,No,No,,
primary_color,El color primario en el sitio web de la institución.,#056dae,string,,No,No,,
logo,La URL del logotipo de la institución.,https://belvo-api-media.s3.amazonaws.com/logos/erebor_logo.svg,string,,No,Yes,,
icon_logo,La URL del logotipo del icono de la institución.,https://statics.belvo.io/widget/images/institutions/erebor.svg,string,,No,Yes,,
text_logo,La URL del logotipo de texto de la institución.,https://statics.belvo.io/widget/images/institutions/erebor.svg,string,,No,Yes,,
code,"Este campo está **obsoleto** y se eliminará en una versión futura. Por favor, utilice el campo `id` en su lugar, que es el identificador único para la institución.",,string,,No,Yes,,
form_fields,,,array,,No,No,,
form_fields[].name,"El campo de nombre de usuario, contraseña o tipo de nombre de usuario.",username,string,,No,No,,
form_fields[].type,"El tipo de entrada para el campo del formulario. Por ejemplo, string.",text,string,,No,No,,
form_fields[].label,"La etiqueta del campo del formulario. Por ejemplo:
- Client number
- Key Bancanet
- Document",Client number,string,,No,No,,
form_fields[].validation,El tipo de validación de entrada utilizada para el campo.,"^.{1,}$",string,,No,No,,
form_fields[].placeholder,El texto del marcador de posición en el campo del formulario.,ABC333333A33,string,,No,No,,
form_fields[].validation_message,El mensaje que se muestra cuando se proporciona una entrada no válida en el campo del formulario.,Invalid client number,string,,No,No,,
form_fields[].values,"Si el campo del formulario es para documentos, la institución puede requerir información adicional sobre el tipo de documento.",,array,,No,No,,
form_fields[].values[].code,El código del documento.,001,string,,No,No,,
form_fields[].values[].label,"La etiqueta para el campo. Por ejemplo:
- Cédula de Ciudadanía
- Cédula de Extranjería
- Pasaporte",Cédula de Ciudadanía,string,,No,No,,
form_fields[].values[].validation,El tipo de validación de entrada utilizada para el campo.,"^.{1,}$",string,,No,No,,
form_fields[].values[].validation_message,El mensaje que se muestra cuando se proporciona una entrada no válida en el campo del formulario.,Invalid document number,string,,No,No,,
form_fields[].values[].placeholder,El texto del marcador de posición en el campo del formulario.,DEF4444908M22,string,,No,No,,
features,"Las características que la institución admite. Si la institución no tiene características especiales, entonces Belvo devuelve un array vacío.

Aquí hay una lista de las características disponibles:
- `token_required` indica que la institución puede requerir un token durante la creación del enlace o al realizar cualquier otra solicitud.",,array,,No,No,,
features[].name,El nombre de la característica.,token_required,string,,No,No,,
features[].description,La descripción de la característica.,The institution may require a token during link creation or login,string,,No,No,,
resources,"Una lista de recursos de Belvo que puedes usar con la institución. Esta lista incluye uno o más de los siguientes recursos:

  - `ACCOUNTS`
  - `BALANCES`
  - `BILLS`
  - `EMPLOYMENTS`
  - `EMPLOYMENT_RECORDS`
  - `FINANCIAL_STATEMENTS`
  - `INCOMES`
  - `INVESTMENTS`
  - `INVESTMENT_TRANSACTIONS`
  - `INVOICES`
  - `OWNERS`
  - `RECURRING_EXPENSES`
  - `RISK_INSIGHTS`
  - `TRANSACTIONS`
  - `TAX_COMPLIANCE_STATUS`
  - `TAX_RETENTIONS`
  - `TAX_RETURNS`
  - `TAX_STATUS`","[""ACCOUNTS"", ""BALANCES"", ""INCOMES"", ""OWNERS"", ""RECURRING_EXPENSES"", ""RISK_INSIGHTS"", ""TRANSACTIONS""]",array,,No,No,,
integration_type,"El tipo de tecnología utilizada para acceder a la institución. Devolvemos uno de los siguientes valores:

- `credentials`: Utiliza la tecnología de scraping de Belvo, combinada con las credenciales del usuario, para realizar solicitudes.
- `openfinance`: Utiliza la API de open finance del banco para realizar solicitudes.",credentials,string,,No,No,"credentials, openfinance",
status,Indica si la integración de Belvo con la institución está actualmente activa (`healthy`) o en mantenimiento (`down`).,healthy,string,,No,No,"healthy, down",
openbanking_information,Información sobre la institución en el entorno de Open Finance.,,object,,No,Yes,,
openbanking_information.description,Una breve descripción de la institución en el entorno de Open Finance. Extraído del listado de instituciones reguladas por Open Finance.,"A 1ss Bank é uma fintech fundada em janeiro de 2020, com a missão de ajudar empresas com grandes ecossistemas a se tornarem fintechs, integrando e automatizando seus processos financeiros através de APIs e plataforma white-label.",string,,No,Yes,,
openbanking_information.participants,Lista de servidores de marcas disponibles de la institución en Open Finance. Extraído de la lista de instituciones reguladas por Open Finance.,"[""1ss Bank""]",array,,No,Yes,,
openbanking_information.authorization_server_id,El ID del servidor de autorización (UUID) de la institución en el Entorno de Finanzas Abiertas.,aa18fcd3-2f0b-40b1-87db-8930b10b78b1,string,uuid,No,Yes,,
