Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
account,Detalles sobre la cuenta.,,object,,No,Yes,,
account.id,Identificador único de Belvo para el elemento actual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
account.link,El `link.id` al que pertenecen los datos.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
account.institution,Detalles sobre la institución.,,object,,Yes,No,,
account.institution.name,"El nombre de la institución, según lo designado por Belvo.",erebor_mx_retail,string,,No,No,,
account.institution.type,"El tipo de institución. Devolvemos uno de los siguientes valores:

  - `bank`
  - `fiscal`
  - `employment`",,string,,No,No,"bank, fiscal, employment",
account.collected_at,La marca de tiempo ISO-8601 cuando se recopiló el punto de datos.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
account.created_at,La marca de tiempo ISO-8601 de cuando se creó el punto de datos en la base de datos de Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
account.last_accessed_at,La marca de tiempo ISO-8601 del acceso más reciente y exitoso de Belvo a la institución para el enlace dado.,2021-03-09T10:28:40.000Z,string,date-time,Yes,Yes,,
account.category,"El tipo de cuenta.  
Devolvemos uno de los siguientes valores de enum:  
  - `ADVANCE_DEPOSIT_ACCOUNT`
  - `CHECKING_ACCOUNT`
  - `CREDIT_CARD`
  - `FINANCING_ACCOUNT`
  - `INVESTMENT_ACCOUNT`
  - `INVOICE_FINANCING_ACCOUNT`
  - `LOAN_ACCOUNT`
  - `PENSION_FUND_ACCOUNT`
  - `SAVINGS_ACCOUNT`
  - `UNCATEGORIZED`",CHECKING_ACCOUNT,string,,Yes,Yes,"ADVANCE_DEPOSIT_ACCOUNT, CHECKING_ACCOUNT, CREDIT_CARD, FINANCING_ACCOUNT, INVESTMENT_ACCOUNT, INVOICE_FINANCING_ACCOUNT, LOAN_ACCOUNT, PENSION_FUND_ACCOUNT, SAVINGS_ACCOUNT, UNCATEGORIZED",
account.balance_type,"Indica si esta cuenta es un `ASSET` o un `LIABILITY`. Puedes considerar el saldo de un `ASSET` como positivo, mientras que el saldo de un `LIABILITY` como negativo.",ASSET,string,,Yes,Yes,,
account.overdraft,,,object,,No,Yes,,
account.overdraft.arranged,"El límite de sobregiro acordado entre el titular de la cuenta y la institución.

> **No anulable:** Se debe devolver un valor por la red de finanzas abiertas de Brasil si el campo `overdraft` está disponible.",5000.5,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.overdraft.used,"El valor del sobregiro utilizado.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor si el campo `overdraft` está disponible.",1000.5,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.overdraft.unarranged,"El sobregiro utilizado que no fue acordado entre el titular de la cuenta y la institución.

> **No anulable:** Se debe devolver un valor por la red de finanzas abiertas de Brasil si el campo `overdraft` está disponible.",300.1,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
account.type,"El tipo de cuenta, según lo designado por la institución.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",STANDARD_NACIONAL,string,,Yes,No,,
account.subtype,"El subtipo de cuenta, según lo designado por la institución.

> **No anulable:** La red de finanzas abiertas de Brasil debe devolver un valor.",FINANCIAMENTO_HABITACIONAL_SFH,string,,Yes,No,,
account.name,"El nombre de la cuenta, tal como lo proporciona la institución.",Cuenta Perfiles- M.N. - MXN-666,string,,Yes,Yes,,
account.number,"El número de cuenta, tal como lo designa la institución.",4057068115181,string,,Yes,Yes,,
account.agency,El código de sucursal donde se abrió el producto.,6272,string,,Yes,Yes,,"^\d{1,4}$"
account.check_digit,"El dígito de control del número del producto, si corresponde.",7,string,,Yes,Yes,,[\w\W\s]*
account.balance,Detalles sobre los saldos actual y disponible de la cuenta.,,object,,Yes,No,,
account.balance.current,"El saldo actual se calcula de manera diferente según el tipo de cuenta.

- **💰 Cuentas corrientes y de ahorro**:

El saldo de la cuenta del usuario en el momento del timestamp `collected_at`.

- **💳 Tarjetas de crédito**:

La cantidad que el usuario ha gastado en el período de facturación actual de la tarjeta (consulte `credit_data.cutting_date` para obtener información sobre cuándo finaliza el período de facturación actual).

- **🏡 Cuentas de préstamo**:

La cantidad restante por pagar en el préstamo del usuario.",5874.13,number,float,Yes,Yes,,"^\d{1,15}\.\d{2,4}$"
account.balance.available,"El saldo que el titular de la cuenta puede utilizar.

- **💰 Cuentas corrientes y de ahorro**:

El saldo disponible puede ser diferente al saldo `current` debido a transacciones pendientes.

- **💳 Tarjetas de crédito**:

El monto de crédito que el usuario aún tiene disponible para el período actual. El monto se calcula como `credit_data.credit_limit` menos `balance.current`.

- **🏡 Cuentas de préstamo**:

El valor presente requerido para liquidar el préstamo, según lo proporcionado por la institución.

**Nota:** Si la institución no proporciona este valor, devolvemos `null`.",5621.12,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
account.balance.blocked,"La cantidad que está actualmente bloqueada debido a transacciones pendientes.

> **No anulable:** Se debe devolver un valor por la red de finanzas abiertas de Brasil si el campo `balances` está disponible.",60.32,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
account.balance.automatically_invested,"La cantidad que se invierte automáticamente (según lo acordado con la institución).

> **No anulable:** Se debe devolver un valor por la red de finanzas abiertas de Brasil si el campo `balances` está disponible.",131.5,number,float,No,No,,"^\d{1,15}\.\d{2,4}$"
account.currency,"El código de moneda de tres letras (ISO-4217).

> **No anulable:** Se debe devolver un valor por la red de finanzas abiertas de Brasil si el campo `balances` está disponible.",BRL,string,,Yes,No,,^[A-Z]{3}$
account.public_identification_name,"El nombre público para el tipo de identificación. Para cuentas de ahorro y corrientes en 🇧🇷 Brasil, este campo será `AGENCY/ACCOUNT`.",AGENCY/ACCOUNT,string,,Yes,Yes,,
account.public_identification_value,"El valor para el `public_identification_name`.

Para cuentas de ahorro y corriente OFDA brasileñas 🇧🇷, este campo será el número de agencia y cuenta bancaria, separados por una barra. Por ejemplo: `0444/45722-0`.

Para cuentas de tarjeta de crédito OFDA brasileñas 🇧🇷, devolveremos una cadena de números de tarjeta de crédito concatenados asociados con la cuenta. Por ejemplo: ""8763,9076,5522""",0444/45722-0,string,,Yes,Yes,,
