Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
[].id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,No,No,,
[].account,Detalhes sobre a conta.,,object,,Yes,Yes,,
[].account.id,Identificador único da Belvo para o item atual.,0d3ffb69-f83b-456e-ad8e-208d0998d71d,string,uuid,Yes,No,,
[].account.link,O `link.id` ao qual os dados pertencem.,30cb4806-6e00-48a4-91c9-ca55968576c8,string,uuid,Yes,Yes,,
[].account.institution,Detalhes sobre a instituição.,,object,,Yes,No,,
[].account.institution.name,"O nome da instituição, conforme designado pela Belvo.",erebor_mx_retail,string,,No,No,,
[].account.institution.type,"O tipo de instituição. Retornamos um dos seguintes valores:

  - `bank`
  - `fiscal`
  - `employment`",,string,,No,No,"bank, fiscal, employment",
[].account.collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].account.created_at,O carimbo de data e hora ISO-8601 de quando o ponto de dados foi criado no banco de dados da Belvo.,2022-02-09T08:45:50.406032Z,string,date-time,Yes,No,,
[].account.last_accessed_at,O timestamp ISO-8601 do acesso mais recente e bem-sucedido da Belvo à instituição para o link fornecido.,2021-03-09T10:28:40.000Z,string,date-time,Yes,Yes,,
[].account.category,"O tipo de conta.  
Retornamos um dos seguintes valores do enum:  
  - `ADVANCE_DEPOSIT_ACCOUNT`
  - `CHECKING_ACCOUNT`
  - `CREDIT_CARD`
  - `FINANCING_ACCOUNT`
  - `INVESTMENT_ACCOUNT`
  - `INVOICE_FINANCING_ACCOUNT`
  - `LOAN_ACCOUNT`
  - `PENSION_FUND_ACCOUNT`
  - `SAVINGS_ACCOUNT`
  - `UNCATEGORIZED`",CHECKING_ACCOUNT,string,,Yes,Yes,"ADVANCE_DEPOSIT_ACCOUNT, CHECKING_ACCOUNT, CREDIT_CARD, FINANCING_ACCOUNT, INVESTMENT_ACCOUNT, INVOICE_FINANCING_ACCOUNT, LOAN_ACCOUNT, PENSION_FUND_ACCOUNT, SAVINGS_ACCOUNT, UNCATEGORIZED",
[].account.balance_type,"Indica se esta conta é um `ASSET` ou um `LIABILITY`. Você pode considerar o saldo de um `ASSET` como positivo, enquanto o saldo de um `LIABILITY` como negativo.",ASSET,string,,Yes,Yes,,
[].account.overdraft,,,object,,No,Yes,,
[].account.overdraft.arranged,"O limite de cheque especial acordado entre o titular da conta e a instituição.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `overdraft` estiver disponível.",5000.5,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
[].account.overdraft.used,"O valor do cheque especial utilizado.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `overdraft` estiver disponível.",1000.5,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
[].account.overdraft.unarranged,"O cheque especial utilizado que não foi acordado entre o titular da conta e a instituição.

> **Non-nullable:** Um valor deve ser retornado pela rede de open finance do Brasil se o campo `overdraft` estiver disponível.",300.1,number,float,Yes,No,,"^\d{1,15}\.\d{2,4}$"
[].account.type,"O tipo de conta, conforme designado pela instituição.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",STANDARD_NACIONAL,string,,Yes,No,,
[].account.subtype,"O subtipo de conta, conforme designado pela instituição.

> **Não anulável:** Um valor deve ser retornado pela rede de open finance do Brasil.",FINANCIAMENTO_HABITACIONAL_SFH,string,,Yes,No,,
[].account.name,"O nome da conta, conforme fornecido pela instituição.",Cuenta Perfiles- M.N. - MXN-666,string,,Yes,Yes,,
[].account.number,"O número da conta, conforme designado pela instituição.",4057068115181,string,,Yes,Yes,,
[].account.agency,O código da agência onde o produto foi aberto.,6272,string,,Yes,Yes,,"^\d{1,4}$"
[].account.check_digit,"O dígito verificador do número do produto, se aplicável.",7,string,,Yes,Yes,,[\w\W\s]*
[].account.balance,Detalhes sobre os saldos atual e disponível para a conta.,,object,,Yes,No,,
[].account.balance.current,"O saldo atual é calculado de maneira diferente de acordo com o tipo de conta.

- **💰 Contas correntes e poupança**:

O saldo da conta do usuário no timestamp `collected_at`.

- **💳 Cartões de crédito**:

O valor que o usuário gastou no período de faturamento atual do cartão (consulte `credit_data.cutting_date` para informações sobre quando o período de faturamento atual termina).

- **🏡 Contas de empréstimo**:

O valor restante a pagar no empréstimo do usuário.",5874.13,number,float,Yes,Yes,,"^\d{1,15}\.\d{2,4}$"
[].account.balance.available,"O saldo que o titular da conta pode usar.

- **💰 Contas correntes e poupança**:

O saldo disponível pode ser diferente do saldo `current` devido a transações pendentes.

- **💳 Cartões de crédito**:

O valor de crédito que o usuário ainda tem disponível para o período atual. O valor é calculado como `credit_data.credit_limit` menos `balance.current`.

- **🏡 Contas de empréstimo**:

O valor presente necessário para quitar o empréstimo, conforme fornecido pela instituição.

**Nota:** Se a instituição não fornecer esse valor, retornamos `null`.",5621.12,number,float,No,Yes,,"^\d{1,15}\.\d{2,4}$"
